Points,Longitude,Latitude,Tupp,CHcrit,tearly,tmean,tlate,cctr,RAFUmin,RAFUmean,RAFUmax
Grid 4,128,45.5,2,68.1571428571429,43,54.1666666666667,68,25,0,4.2578125,18.275
Grid 4,128,45.5,4,103.922222222222,41,53.2361111111111,67,26,0,5.1521412037037,40.7166666666667
Grid 4,128,45.5,6,132.672727272727,39,50.6111111111111,62,23,0,6.99415509259259,40.7166666666667
Grid 4,128,45.5,8,160.892307692308,37,47.7361111111111,59,22,0,10.3651041666667,40.7166666666667
Grid 4,128,45.5,10,193.693333333333,35,44.9861111111111,53,18,0,14.0023148148148,42.1625
Grid 4,128,45.5,12,229.8,34,42.3333333333333,50,16,0.2875,19.1483796296296,58.0041666666667
Grid 4,128,45.5,14,269.905263157895,32,39.8888888888889,47,15,0.383333333333334,25.1961805555556,88.7833333333333
Grid 4,128,45.5,16,290.152380952381,29,36.0694444444444,42,13,6.18333333333333,35.9021990740741,90.5458333333333
Grid 4,128,45.5,18,317.195652173913,26,32.9861111111111,39,13,7.47083333333333,47.8054976851852,119.079166666667
Grid 4,128,45.5,20,347.348,24,30.6527777777778,37,13,10.5208333333333,58.690625,129.8875
